inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Feb 17, 2023",PHP,Aggressive,"PHP 1,000.00",,PHP 100.00,"PHP 1,000.00",0 calendar days,12:00 PM,T+3,0.3368%,0,100% Philippines Stock Exchange Index		,AIA Peso Equity Fund,Equity Fund,0.9733,AIA INVESTMENT MANAGEMENT AND TRUST CORPORATION PHILIPPINES,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=481&bank_id=42
"May 4, 2006",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T + 3 days,1.25% per annum based on the Net Asset Value (NAV),0.50% of amount redeemed,90-day yield of the Philippine Stock Exchange Index (PSEi) ,Equity Investment Trust Fund,Equity Fund,256.86,Asia United Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=159&bank_id=4
"Dec 4, 2006",PHP,Aggressive,"PHP 25,000.00",,"PHP 10,000.00","PHP 25,000.00",30 calendar days,12:00 PM,T + 3,1.25% PA,1.00% of the Principal,		,AB CAPITAL EQUITY FUND,Equity Fund,2.81126,AB Capital Asset Management,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=185&bank_id=29
"Feb 17, 2021",PHP,Aggressive,PHP 50.00,,PHP 50.00,PHP 50.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",1.75% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (A Unit Class),Equity Fund,95.806621,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=404&bank_id=31
"Feb 17, 2021",PHP,Aggressive,"PHP 200,000,000.00",,PHP 50.00,"PHP 200,000,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 3 business days",0.60% p.a.,none,Philippine Stock Exchange Index						,ATRAM Philippine Sustainable Development and Growth Fund (Y Unit Class),Equity Fund,99.982665,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=405&bank_id=31
"Jun 15, 2005",PHP,Balanced,"PHP 1,000.00",,"PHP 1,000.00",PHP 0.00,30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,0.50% of the Original Participation Amount,PSEi										,BDO INSTITUTIONAL EQUITY FUND,Equity Fund,4345.6579,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=127&bank_id=6
"Apr 8, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,11:30 AM,4,1.50% p.a. based on the Net Asset Value (NAV) accrued daily,5% of the redeemed amount,90% of the Philippine Stock Exchange Index (PSEi) and 10% of the one month yield based on the PHP BVAL														,DIVERSITY DIVIDEND FOCUSED FUND,Equity Fund,0.654755,Bank of Commerce,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=252&bank_id=5
"May 3, 2005",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount,PSEi																,BDO EQUITY FUND,Equity Fund,372.1367,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=126&bank_id=6
"May 5, 2003",PHP,Aggressive,"PHP 10,000.00",,"PHP 5,000.00","PHP 10,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+2 (end of day),2.00% p.a.,None,Philippine Stock Exchange Index (PSEi)								,ODYSSEY PHILIPPINE EQUITY FUND,Equity Fund,383.8,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=63&bank_id=3
"Oct 18, 2013",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after the notice of redemption is received (T + 3),1.50% p.a.,1.00% of the Original Participation Amount,PSEi												,BDO FOCUSED EQUITY FUND,Equity Fund,78.4079,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=198&bank_id=6
"Jun 11, 2013",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+3,1.0% based on NAV before trust fee for the day,1.0% of redemption proceeds,95% Philippine Stock Exchange Index (PSEi) + 5% Bloomberg Phil Sovereign Bond Index Money Market (BPHILMM)�� ���												,CHINA BANK EQUITY FUND,Equity Fund,1.184102,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=188&bank_id=7
"Oct 18, 2013",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after the notice of redemption is received (T + 3),1.25% p.a.,1.00% of the Original Participation Amount,PSEi																		,BDO DIVIDEND FUND,Equity Fund,92.2135,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=197&bank_id=6
"Dec 11, 2015",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,1.00% of the Original Participation Amount ,PSEi 					,BDO ESG EQUITY FUND,Equity Fund,99.2109,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=266&bank_id=6
"Jun 26, 2015",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+3,1.0% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,95% Philippine Stock Exchange Index (PSEi) + 5% Bloomberg Phil Sovereign Bond Index Money Market (BPHILMM)												,CHINA BANK HIGH DIVIDEND EQUITY FUND,Equity Fund,1.051568,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=256&bank_id=7
"Apr 4, 2005",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange index (PSEi)											,BPI EQUITY VALUE FUND,Equity Fund,139.41,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=53&bank_id=3
"Aug 1, 2016",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T+3,1.50%,25% of net earnings (P500 minimum),"Percentage change of the closing PSEi, or in its absence, any available relevant or similar benchmark
		",LANDBANK Equity Fund,Equity Fund,0.805999,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=283&bank_id=9
"Oct 23, 2015",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"Russel 3000 Growth Index, Gross Dividends											",ATRAM US Equity Opportunity Feeder Fund,Feeder Fund - Equity,2.027132,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=260&bank_id=31
"Apr 18, 2016",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a.,0%,S&P 500 Index								,BDO US EQUITY INDEX FEEDER FUND,Feeder Fund - Equity,116.9793,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=272&bank_id=6
"Jul 26, 2017",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),1.00% p.a.,0%,MSCI Europe Index										,BDO EUROPE EQUITY FEEDER FUND,Feeder Fund - Equity,120.8386,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=304&bank_id=6
"Oct 29, 2015",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),1.00% p.a.,0%,80% MSCI China Index and 20% CSI 300 Index										,BDO CHINA EQUITY FEEDER FUND,Feeder Fund - Equity,85.887,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=261&bank_id=6
"Jul 28, 2014",USD,Aggressive,USD 100.00,,USD 50.00,USD 100.00,0 banking days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI AC World Index, Net Dividends																	",ATRAM Global Equity Opportunity Feeder Fund (USD Unit Class),Feeder Fund - Equity,1.423126,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=232&bank_id=31
"Sep 9, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return										,Manulife Global Clean Energy Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,53.264,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=456&bank_id=39
"Dec 15, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI AC World (Net) Total Return				,Manulife Global Thematic Opportunities Equity Feeder Fund (Php Unhedged Class I),Feeder Fund - Equity,58.9226,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=472&bank_id=39
"Feb 1, 2023",USD,Moderate,USD 500.00,,USD 100.00,USD 500.00,7 calendar days,12:00 PM,T + 1,0.35% per annum,0.25% of the redemption proceeds,30-day USD deposit rate						,Rbank Dollar Short Term Feeder Fund,Feeder Fund - Fixed Income,101.211672,Robinsons Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=476&bank_id=34
"Apr 30, 2015",USD,Balanced,USD 500.00,,USD 500.00,USD 500.00,0 calendar days,02:30 PM,Five (5) banking days after redemption valuation date (T + 5),0.50% p.a.,0%,FTSE EPRA/NAREIT Developed Markets Index																,BDO DEVELOPED MARKETS PROPERTY INDEX FEEDER FUND,Feeder Fund - Equity,96.6658,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=253&bank_id=6
"Nov 8, 2019",USD,Aggressive,"USD 1,000,000.00",,"USD 1,000.00","USD 1,000,000.00",30 calendar days,02:30 PM,T + 7 business days,0.6875%,0.50% based on redemption amount,JP Morgan Asia Credit Index Non-Investment Grade			,PRUInvest USD High Yield Asian Bond Feeder Fund (Class I),Feeder Fund - Fixed Income,0.5677,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=380&bank_id=41
"Nov 8, 2019",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",30 calendar days,02:30 PM,T + 7 business days,1.375%,0.50% based on redemption amount,JP Morgan Asia Credit Index Non-Investment Grade,PRUInvest USD High Yield Asian Bond Feeder Fund (Class A),Feeder Fund - Fixed Income,0.5275,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=378&bank_id=41
"Apr 30, 2019",PHP,Moderately Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"25% MSCI World Index, Net Dividends, USD Hedged, 15% MSCI Emerging Markets, Net Dividends, 40% Bloomberg US Corporate High Yield 2% Issuer Capped Bond Total and 20% Bloomberg EM Hard Currency Aggregate Index								",ATRAM Global Multi,Feeder Fund - Multi-Asset,91.15365,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=360&bank_id=31
"Feb 14, 2018",USD,Aggressive,USD 500.00,,USD 100.00,USD 500.00,7 calendar days,12:00 PM,T + 4,0.50% p.a. based on Net Asset Value (NAV),50% of income on redeemed amount ,Markit iBoxx USD Liquid Investment Grade Index (IBOXIG Index)													,Metro$ US Investment Grade Corporate Bond Feeder Fund,Feeder Fund - Fixed Income,0.913665,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=325&bank_id=1
"May 16, 2022",USD,Moderate,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,11:30 AM,T+7,None,None,JP Morgan Asia Credit Index		,Maybank Tiger USD Asian Income Feeder Fund,Feeder Fund - Fixed Income,0.9279,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=445&bank_id=40
"Jul 27, 2018",USD,Moderate,"USD 1,000.00",,USD 200.00,"USD 1,000.00",0 banking days,11:30 AM,T+4,0.50% p.a.,Not Applicable,98% Bloomberg	Barclays EM USD Sovereign; Philippines Total Return Index Unhedged USD + 2% 30-Day US Dollar Deposit Savings Rate,Maybank Tiger Dollar Bond Feeder Fund,Feeder Fund - Fixed Income,0.876444,Maybank Philippines Inc.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=343&bank_id=40
"Dec 16, 2022",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.00% as a % p.a. of the NAV,N/A,JACI Investment Grade 1-3 Years Index					,Manulife Asia Short Duration Bond Feeder Fund (USD Class A),Feeder Fund - Fixed Income,0.9931,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=468&bank_id=39
"Mar 8, 2021",PHP,Moderate,"PHP 50,000,000.00",,"PHP 10,000.00","PHP 50,000,000.00",30 calendar days,02:30 PM,T + 4 business days,0.375%,0.50% based on redemption amount,BLOOMBERG Philippine Sovereign Bond Index 1 to 5 years (BPHIL15 Index)			,PRUInvest PHP Intermediate Term Bond Fund (Class I),Fixed Income Fund - Intermediate Term,1.0307,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=408&bank_id=41
"Mar 8, 2021",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,02:30 PM,T + 4 business days,0.75%,0.50% based on redemption amount,BLOOMBERG Philippine Sovereign Bond Index 1 to 5 years (BPHIL15 Index)									,PRUInvest PHP Intermediate Term Bond Fund (Class A),Fixed Income Fund - Intermediate Term,1.0222,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=407&bank_id=41
"Sep 18, 2017",PHP,Moderate,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,N/A,N/A,50% Bloomberg Philippine Sovereign Bond Index 1 to 3 Year + 50% 91-day T-Bill rate. 				,Manulife Stable Income Fund (Class I),Fixed Income Fund - Intermediate Term,1.2135,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=312&bank_id=39
"Apr 8, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 calendar days,12:00 PM,T + 1,0.75% p.a. based on Net Asset Value (NAV),50% of income on redeemed amount,Markit iBoxx ALBI Philippine 1-3					,Metro Max,Fixed Income Fund - Intermediate Term,2.161708,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=38&bank_id=1
"Sep 18, 2017",PHP,Moderate,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,0.75% as a % p.a. of the NAV,N/A,"50% Bloomberg Philippine Sovereign Bond Index
1 to 3 Year + 50% 91-day T-Bill rate.																								",Manulife Stable Income Fund (Class A),Fixed Income Fund - Intermediate Term,1.1385,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=311&bank_id=39
"Mar 1, 2016",PHP,Moderate,"PHP 2,000.00","Class I - PHP 10,000 (via any PNB Branch) Class II - PHP 2,000 (via PNB UITF Online)","PHP 2,000.00","PHP 2,000.00",30 calendar days,12:00 PM,T+1,0.75% p.a. of fund value,"50% of income earned, if any","Markit iBoxx ALBI Philippines 1-3

																												",PNB PROFIT PESO BOND FUND (Formerly PNB Peso Intermediate Term Bond Fund),Fixed Income Fund - Intermediate Term,1.582009,Philippine National Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=178&bank_id=2
"May 22, 2014",PHP,Moderate,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",30 calendar days,12:00 PM,T + 1,0.50% per annum based on the Net Asset Value (NAV) of the Fund before trust fee for the day,1.0% of the amount redeemed,Bloomberg Phil Sovereign Bond Index 1 to 3 Year (BPHIL13)															,CHINA BANK INTERMEDIATE FIXED,Fixed Income Fund - Intermediate Term,1.246771,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=229&bank_id=7
"Apr 4, 2005",PHP,Moderately Conservative,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+0 (end of day),1.50% p.a.,None,BPI Philippine Government Bond 1-3 Year Index				,BPI PREMIUM BOND FUND,Fixed Income Fund - Intermediate Term,200.59,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=49&bank_id=3
"Jul 2, 2021",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% MSCI World GR (USD) Index and 50% Bloomberg Barclays Global Aggregate Bond (USD Hedged) Index							,Manulife Global Multi,Feeder Fund - Multi-Asset,0.8573,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=421&bank_id=39
"Feb 12, 2020",USD,Aggressive,"USD 1,000.00",,USD 100.00,"USD 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,50% BoFA Merrill Lynch Fixed Rate Preferred Securities Index + 50% BoFA Merrill Lynch US Capital Securities Index										,Manulife Global Preferred Income Feeder Fund (USD Class I),Feeder Fund - Multi-Asset,0.7805,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=384&bank_id=39
"Feb 18, 2005",PHP,Moderate,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T+1,1% p.a. of the market value of the fund,"PHP 500.00 or 0.25% of the withdrawn amount, whichever is higher","Bloomberg Philippine Sovereign Bond Index 1-3 Year, Adjusted.",EastWest Peso Intermediate Term Bond Fund,Fixed Income Fund - Intermediate Term,2160.9151,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=175&bank_id=8
