inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Aug 17, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI India 10/40 Index								,Manulife India Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,55.05,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=427&bank_id=39
"Apr 29, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI AC World (Net) Total Return									,Manulife Global Thematic Opportunities Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,53.4341,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=443&bank_id=39
"Jan 20, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.25% as a % p.a. of the NAV,N/A,MSCI World Information Technology Index												,Manulife Global Technology Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,47.7527,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=437&bank_id=39
"Jul 21, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,100% S&P Developed Property Index											,Manulife Global REIT Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,39.673,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=424&bank_id=39
"May 10, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days ,N/A,N/A,S&P 500 Index 											,Manulife American Growth Equity Feeder Fund (Php Unhedged Class I),Feeder Fund - Equity,55.016,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=418&bank_id=39
"Jan 18, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV ,N/A,MSCI World/Healthcare NR USD Index																				,Manulife Global Healthcare Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,61.7973,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=399&bank_id=39
"May 10, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days ,N/A,N/A,MSCI Zhong Hua Index											,Manulife Dragon Growth Equity Feeder Fund (PHP Unhedged Class I),Feeder Fund - Equity,28.6789,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=416&bank_id=39
"May 15, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,S&P 500 Index								,Manulife American Growth Equity Feeder Fund (Php Unhedged Class A),Feeder Fund - Equity,81.3191,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=363&bank_id=39
"Oct 29, 2014",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T+4,1.00% per annum,PHP500 or 0.25% of the redemption proceeds whichever is higher,Philippine Stock Exchange Index								,EastWest PhilEquity Feeder Fund,Feeder Fund - Equity,872.6261,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=250&bank_id=8
"Dec 10, 2018",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Zhong Hua Index								,Manulife Dragon Growth Equity Feeder Fund (PHP Unhedged Class A),Feeder Fund - Equity,45.7059,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=353&bank_id=39
"Aug 1, 2017",PHP,Aggressive,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,11:00 AM,T + 5,1.00%,1.00%,Philippine Stock Exchange Index						,CTBC Bank,Feeder Fund - Equity,0.7832,CTBC Bank (Philippines) Corp.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=318&bank_id=36
"Nov 11, 2019",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+5 (end of day),0.75% p.a.,N/A,S&P® 500 Index												,BPI US EQUITY INDEX FEEDER FUND CLASS P (PHIL PESO CLASS),Feeder Fund - Equity,156.67,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=377&bank_id=3
"May 22, 2017",PHP,Aggressive,"PHP 50,000.00",,"PHP 10,000.00","PHP 50,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+7 (end of day),0.50% p.a.,None,MSCI All Country World Index (PHP)							,BPI CATHOLIC VALUES GLOBAL EQUITY FEEDER FUND,Feeder Fund - Equity,151.46,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=296&bank_id=3
"Dec 14, 2021",PHP,Moderately Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI ACWI Infrastructure Index, Net Dividends			",ATRAM Global Infra Equity Feeder Fund,Feeder Fund - Equity,88.269581,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=434&bank_id=31
"Dec 14, 2021",PHP,Moderately Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI ACWI Health Care Index, Net Dividends								",ATRAM Global Health Care Feeder Fund,Feeder Fund - Equity,96.953022,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=435&bank_id=31
"Jun 7, 2021",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption T + 5 to 7 business Days",1.20% p.a.,none,"MSCI AC World Index, Net Dividends							",ATRAM Global Equity Opportunity Fund (PHP Unit Class),Feeder Fund - Equity,101.177036,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=420&bank_id=31
"Feb 28, 2020",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,Subscription: T + 0 business days; Redemption: T + 5 to 7 business days,1.20% p.a.,none,"MSCI World Consumer Discretionary Index, Net Dividends																						",ATRAM Global Consumer Trends Feeder Fund,Feeder Fund - Equity,118.021784,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=385&bank_id=31
"Mar 26, 2019",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI ACWI Financials Index, Net Dividends									",ATRAM Global Financials Feeder Fund,Feeder Fund - Equity,145.075733,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=355&bank_id=31
"Apr 30, 2018",PHP,Aggressive,"PHP 1,000.00",,PHP 500.00,PHP 0.00,0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.15% p.a.,none,"MSCI ACWI Information Technology Index, Net Dividends									",ATRAM Global Technology Feeder Fund,Feeder Fund - Equity,246.447615,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=327&bank_id=31
"Dec 8, 2016",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.20% p.a.,none,"MSCI AC Asia Pacific ex Japan Index, Net Dividends																",ATRAM Asia Equity Opportunity Feeder Fund,Feeder Fund - Equity,111.466022,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=290&bank_id=31
"May 10, 2016",PHP,Moderately Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,03:00 PM,"Subscription: T + 0 business days, Redemption: T + 5 to 7 business days",1.10% p.a.,none,"MSCI AC World Index, Net Dividends													",ATRAM Global Dividend Feeder Fund,Feeder Fund - Equity,154.477737,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=273&bank_id=31
"May 22, 2014",PHP,Aggressive,"PHP 50,000.00",,PHP 0.00,PHP 0.00,30 calendar days,02:00 PM,T + 4 Days,1% per annum,"0.25% of the redeemed amount or Php 500, whichever is higher",Philippine Stock Exchange Index (PSEi)								,UnionBank PSE Index Tracker Fund,Equity Index Tracker Fund,96.158736,Union Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=230&bank_id=13
"Nov 23, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 5,000.00","PHP 5,000.00",0 calendar days,01:30 PM,T+4,1.00% p.a.,N/A,Philippine Stock Exchange Index 							,SB PHILIPPINE EQUITY INDEX FUND,Equity Index Tracker Fund,0.90707,Security Bank Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=263&bank_id=12
"May 7, 2020",PHP,Aggressive,"PHP 50,000,000.00",,"PHP 10,000.00","PHP 50,000,000.00",30 calendar days,02:30 PM,T + 4 business days,0.50%,0.50% based on redemption amount,Philippine Stock Exchange Composite Index								,PRUInvest PH Equity Index Tracker Fund (Class I),Equity Index Tracker Fund,1.1423,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=390&bank_id=41
"Aug 27, 2020",PHP,Aggressive,PHP 1.00,,PHP 1.00,PHP 1.00,30 calendar days,02:30 PM,T + 4 business days,0.15%,0.50% based on redemption amount,Philippine Stock Exchange Composite Index									,PRUInvest PH Equity Index Tracker Fund (Class V),Equity Index Tracker Fund,1.1146,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=449&bank_id=41
"Sep 8, 2010",PHP,Aggressive,"PHP 2,000.00","Class I - PHP 10,000 (via any PNB Branch) Class II - PHP 2,000 (via PNB UITF Online)","PHP 2,000.00","PHP 2,000.00",30 calendar days,01:00 PM,T+2,1.00% p.a. of fund value,"50% of income earned, if any","100% PSEi
																																				",PNB PHIL,Equity Index Tracker Fund,1.482981,Philippine National Bank,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=7&bank_id=2
"May 7, 2020",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,02:30 PM,T + 4 business days,1.00%,0.50% based on redemption amount,Philippine Stock Exchange Composite Index						,PRUInvest PH Equity Index Tracker Fund (Class A),Equity Index Tracker Fund,1.1221,Pru Life UK Investments,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=389&bank_id=41
"Oct 10, 2014",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",7 calendar days,12:00 PM,T + 3,1.00% p.a. based on Net Asset Value (NAV),50% of income on redeemed amount,Philippine Stock Exchange Index (PSEi)										,Metro Philippine Equity Index Tracker Fund,Equity Index Tracker Fund,0.927611,Metropolitan Bank & Trust Co.,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=247&bank_id=1
"Dec 1, 2015",PHP,Aggressive,"PHP 10,000.00",,"PHP 1,000.00","PHP 10,000.00",30 calendar days,12:00 PM,T+4,0.75% p.a of the market value of the fund,"P500.00 or 0.25% of redemption proceeds, whichever is higher",Philippine Stock Exchange Index								,EastWest PSEI Tracker Fund,Equity Index Tracker Fund,93.1868,EastWest Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=264&bank_id=8
"Mar 1, 2021",PHP,Aggressive,"PHP 5,000.00",,"PHP 1,000.00","PHP 5,000.00",15 calendar days,12:00 PM,T+3,1.0% based on NAV before trust fee for the day,1.0% of redemption proceeds,Philippine Stock Exchange Index (PSEi)						,CHINA BANK PHILIPPINE EQUITY INDEX TRACKER FUND,Equity Index Tracker Fund,0.92605,China Banking Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=406&bank_id=7
"Jan 16, 2017",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.00% p.a.,None,BPI Philippine Consumer Equity Index								,BPI PHILIPPINE CONSUMER EQUITY INDEX FUND,Equity Index Tracker Fund,78.38,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=293&bank_id=3
"Jan 16, 2017",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.00% p.a.,None,BPI Philippine Infrastructure Equity Index									,BPI PHILIPPINE INFRASTRUCTURE EQUITY INDEX FUND,Equity Index Tracker Fund,120.33,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=292&bank_id=3
"May 20, 2013",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.00% p.a.,None,Philippine Stock Exchange index (PSEi)																						,BPI PHILIPPINE EQUITY INDEX FUND,Equity Index Tracker Fund,88.11,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=69&bank_id=3
"Dec 22, 2016",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a. ,1.00% of the Original Participation Amount ,PSEi 												,BDO PERA EQUITY INDEX FUND,Equity Index Tracker Fund,92.1694,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=291&bank_id=6
"Jul 10, 2015",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,0.50% of the Original Participation Amount,PSEi						,BDO EQUITY INDEX FUND,Equity Index Tracker Fund,85.1881,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=258&bank_id=6
"Mar 1, 2016",PHP,Aggressive,PHP 1.00,,PHP 1.00,PHP 0.00,0 calendar days,03:00 PM,Subscription: T + 0 business days; Redemption: T + 3 business days,1.50% p.a.,none,Philippine Stock Exchange index										,ATRAM Philippine Equity Smart Index Fund,Equity Index Tracker Fund,94.343154,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=271&bank_id=31
"Nov 15, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI Asia ex Japan Index								,Manulife Asia Best Select Equity Fund (USD Class I),Equity Fund,1.2362,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=351&bank_id=39
"Jun 18, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Asia ex Japan Index										,Manulife Asia Best Select Equity Fund (USD Class A),Equity Fund,0.9646,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=329&bank_id=39
"Dec 15, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI Asia ex Japan Index			,Manulife Asia Best Select Equity Fund (PHP Unhedged Class I),Equity Fund,55.8949,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=470&bank_id=39
"Jun 18, 2018",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Asia ex Japan Index								,Manulife Asia Best Select Equity Fund (PHP Unhedged Class A),Equity Fund,54.8119,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=330&bank_id=39
"Sep 18, 2017",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,1.50% as a % p.a. of the NAV,N/A,Philippine Stock Exchange Index (PSEi)																					,Manulife Equity Wealth Fund (Class A),Equity Fund,0.7616,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=315&bank_id=39
"Sep 18, 2017",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,N/A,N/A,Philippine Stock Exchange Index 										,Manulife Equity Wealth Fund (Class I),Equity Fund,0.8489,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=316&bank_id=39
"Apr 8, 2014",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,1.5%,5%,"			Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net).					",LANDBANK High Dividend Equity Fund,Equity Fund,0.879477,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=467&bank_id=9
"Jan 15, 2007",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,1.75%,5%,"		Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net)		",LANDBANK Alpha Equity Fund,Equity Fund,3.139149,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=461&bank_id=9
"Sep 30, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,.75%,5%,"		Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net).				",LANDBANK Blue Chip Equity Fund,Equity Fund,0.974759,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=464&bank_id=9
"Aug 16, 2013",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange index (PSEi)				,BPI PHILIPPINE HIGH DIVIDEND EQUITY FUND,Equity Fund,119.35,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=189&bank_id=3
"Feb 1, 2007",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange Index (PSEi)								,ODYSSEY PHILIPPINE HIGH CONVICTION EQUITY FUND,Equity Fund,111.31,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=64&bank_id=3
